// todo : cache this sql...
//full joins are not supported.. yet!
//kinda ugly, but needed for collections with a "." node mapping
//just a performance opt!
//we *could* regerate this inside each called method!
// --Commented out by Inspection (12/11/04 10:56 AM): int getWarningCount();
// Handle actions
//noop
// Initial load from JBC
"//	private final List extendsQueue;"
// todo : temporary //      needed because currently persister is the one that //      creates and renders the join fragments for inheritence //      hierarchies...
//if it is a property of an embedded component, invoke on the "identifier"
// have the entity entry perform post-update processing, passing it the // update state and the new version (if one).
//TODO: really bad, evil hack to fix!!!
// we need to writeObject() on this since interceptor is user defined
// todo : potentially look at optimizing these two arrays
//get a snapshot
// finally, what it's all about...
//null caused some problems
//NOTE SPECIAL CASE: // one-to-one constrained=false cannot be proxied, // so default to join and non-lazy
"/*DataSource unpooled = DataSources.unpooledDataSource(				jdbcUrl, props.getProperty(Environment.USER), props.getProperty(Environment.PASS)			);*/"
// we know only the lhs-hand type, so use that
// OptimisticCache impl ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// need to look it up from the persistence-context
// Generate implicit joins, only if necessary.
//TODO: inefficient if that cache is just going to ignore the updated state!
//TODO: redesign how PropertyAccessors are acquired...
//use a degenerated strategy for backward compatibility
// Get the function return value type, based on the type of the first argument.
// Start the session to be used for this request
//st.setTimestamp( index,  new Timestamp( cal.getTimeInMillis() ), cal ); //JDK 1.5 only
//Mainly for OSCache
// get meta's from <subclass>
// We need to generate ids as part of this bulk insert. // // Note that this is only supported for sequence-style generators and // post-insert-style generators; basically, only in-db generators
// TODO : why aren't these the same?
// Default implementation: // If this node has a data type, and that data type is not an association, then this is scalar.
// note that it might be better to iterate the snapshot but this is safe, // assuming the user implements equals() properly, as required by the Set // contract!
// If there are no collection fetches, then no further checks are needed
// assumes that types are all of span 1
"//		 You may still have other ResultSets or update counts left to process here  //		 but you can't do it now or the ResultSet you just got will be closed "
//" collection_ where " +
//TODO: *two* hashmap lookups here is one too many...
// why does this matter?
// logic operators by definition resolve to booleans
// Don't include sub-classes for implied collection joins or subquery joins.
//truncate the identifier to the max alias length, less the suffix length
//note there is a wierd implementation in the client side
// "current" means the reference that was found during flush()
// if it is an initialized proxy, let cascade // handle it later on
// todo : we can remove this once the deprecated ctor can be made private...
//is this ok?
// Defensive, convenience methods
//note that this method could easily be moved up to BasicEntityPersister, //if we ever needed to reuse it from other subclasses
//information about lazy properties of this class
// turn hibernate.c3p0.* into c3p0.*, so c3p0 // gets a chance to see all hibernate.c3p0.*
// replace {....} with corresponding column aliases
// right represents a joins originating from left; or // both right and left reprersent joins originating from the same FromElement
//reset the dotcount (but not the path) //after reset!
// detached collections that get found + reattached // during flush shouldn't be ignored
// todo : need to find a clean way to handle the "event source" role // a seperate classs responsible for generating/dispatching events just duplicates most of the Session methods... // passing around seperate reto interceptor, factory, actionQueue, and persistentContext is not manageable...
// table=null -> an association - fill // it in later //TODO fill in the mappings for table == null
// note that %string is deprecated
// we got here because we assumed that an instance // with an assigned id was detached, when it was // really persistent
// used to set the type of the parent dot node
// Get the function name node.
//TODO: eventually, rowIdName[j]
// there were no queued additions // and the role has a cache
// otherwise:
// ----------------------------------------------------- Instance Variables
// Add a space before the display text.
//TODO: move to .sql package!!
//if the hibernate-mapping did not specify a schema/catalog, use the defaults //specified by properties - but note that if the schema/catalog were specified //in hibernate-mapping, or as params, they will already be initialized and //will override the values set here (they are in identifierGeneratorProperties)
// Transform the tree.
// IMPORT
"//	private ComponentTuplizerFactory componentTuplizerFactory; todo : HHH-3517 and HHH-1907 //	private BytecodeProvider bytecodeProvider;"
// save() operations ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
//TODO: never reached, since getTypeName() actually throws an exception!
// discriminator column
// handle the (assumed) valid cases: // #1 - the only valid datetime addition synatx is one or the other is a datetime (but not both)
// the outerJoinsAfterWhere needs to come before where clause to properly // handle dynamic filters
// remove session from "current context"
// we need to utilize dynamic delete statements
//otherwise recreate the mapping between the collection and its key
// added this caching as I noticed that getType() is being called multiple times...
//ie. e.status==DELETED
// todo : look at optimizing these...
// register synch; stats.connect()
// and perform the load
// ATTRIBUTES USED ONLY DURING FLUSH CYCLE
//if it is an uninitialized proxy, pointing //with this session, then when it is accessed, //the underlying instance will be "contained"
// a nested composite element
// now, any collections that are initialized // inside this block do not get updated - they // are ignored until the next flush
// the element has been removed from the set
//deduplicate unique constraints sharing the same columns //this is needed by Hibernate Annotations since it creates automagically // unique constraints for the user
// false indicates to not generate parens around the assignment
// persists don't cascade to uninitialized collections
// TODO: skip formulas?
//disable a join back to this same association
// todo: we should really just collect these from the various SelectExpressions, rather than regenerating here
//cannot instantiate
//an assertion
// If there is a second child (RHS), recurse into that child.
"//			sqlAliasSuffixes[i] = element.getColumnAliasSuffix();"
// we have a placeholder, spin forward till we find the end
//usually useless
// (NOT (LT a b) ) => (GE a b)
// wrap up any new collections directly referenced by the object // or its components
"//			final List extendsQueue,"
// return the connection
// initialize the Set of queried identifier spaces (ie. tables)
// don't even bother trying to read further
"//		return ""select CURRENT_TIMESTAMP from RDB$DATABASE"";"
// if not a composite key, use "foo in (?, ?, ?)" for batching // if no batch, and not a composite key, use "foo = ?"
// SEQUENCE support ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// Moved here from SelectClause [jsd]
//tableName = mappings.getNamingStrategy().propertyToTableName( className, path );
// TODO : what amount of significant digits need to be supported here? //      - from the DecimalFormat docs: //          [significant digits] = [minimum integer digits] + [maximum fraction digits]
//should this interface extend PropertyMapping?
// TODO: I considered validating the presence of the TS cache here, // but decided to defer unti getQueryCacheInstance() in case the  // cache is never actually used
