// line 706
// produce a nicer error since Rubyists aren't used to seeing this
// line 1326
// line 821
// Do not open as 'rw' by default since a file with read-only permissions will fail on 'rw'
// line 574
// ok, now it gets expensive...
// MRI also does a pointer comparison here
// synchronize on the RubyThread for threadgroup updates
// Scope (method/closure) to which this cfg belongs // Entry BB -- dummy // Exit BB -- dummy // The actual graph // Next available basic block id
// variable args with block
// line 916
// line 1886
// jump and branch operations
// line 1516
// Doesn't fit in buffer. Write immediately. // ensure nothing left to write
// SSS FIXME: Is this correctly placed ... at the end of the loop iteration?
// trigger class initialization for the class
// If no explicit block passed to super, then use the one passed in, unless it's explicitly cleared with nil
//System.err.println(" calculateLength()/str=" + str);
// line 457
// leave as a normal array
// We want unique ids for dataflow variables
//          context.swapValues(); //context.consumeCurrentValue();
// FIXME: This is gross. Don't do this.
// we know variables cannot be null since localstaticscope will create a 0 length one.
"/*case CONSTNODE:                handleUselessWarn(node, ""a constant""); return;*/"
// Force t3 to quit, just in case if it's stuck. // Note: On some platforms, even interrupt might not // have an effect if the thread is IO blocked.
// never visited, should be fine
// super calls from proxies must use reflected method // FIXME: possible to make handles do the superclass call?
// +++ // Helper Methods
// Insert nesting level to ensure variable names don't conflict across nested scopes! // i.e. definition of %v_1 in a closure shouldn't override the use of %v_1 from the parent scope! //        return new Variable(prefix + _lexicalNestingLevel + "_" + idx);
// clear exception when handled or retried
// line 1918
// hex constant
// i'th argument
// TODO: rb_usascii_str_new2
// line 1538
// line 1476
// line 1337
// debugging code, keeping for now
// IO class methods.
// get the incoming case value
// line 1532
// normalize the value
// end of variable scope
// TODO: protected methods.  this is going to require a rework // of some of the mechanism.
// Frame matches one of our markers for "interpreted" calls
// line 925
// ok, got a non-zero, have to own up to our horded zeroes
// line 2014
// if not already defined, we add a 'new' that guesses at which signature to use // TODO: just adding first one right now...add in signature-guessing logic
// line 1295
// For Sockets, only write as much as will fit.
// line 803
// Wire up Function#call(*args) to use the super-fast native invokers
// Create list of interface names to proxy (and make sure they really are interfaces) // Also build a hashcode from all classes to use for retrieving previously-created impl
// line 864
// line 595
/* Note: Only used by compiler until it can use getConstant again or use some other refactoring */
// IRubyObject, RubyClass, CacheEntry, ThreadContext, IRubyObject, IRubyObject, String, args
// The dataStruct is a place where custom information can be // contained for core implementations that doesn't necessarily // want to go to the trouble of creating a subclass of // RubyObject. The OpenSSL implementation uses this heavily to // save holder objects containing Java cryptography objects. // Java integration uses this to store the Java object ref. //protected transient Object dataStruct;
// methods with required = 4 or higher should bind and be callable using reflection // JRUBY-3649
// line 915
// line 727
// scripts and modules
// line 469
// If not already a proc then we should try and make it one.
/* no mb || ismbchar(term)*/
// Math depends on all numeric types
// end class
// FIXME: There's some code duplication here with RubyObject#inspect
// line 529
// line 630
// return last value from execution
// x0 ~ sqrt()
/* $_: last read line string */
"/*case CLASSNODE: case COLON2NODE:                handleUselessWarn(node, ""::""); return;*/"
// we need to collect all methods, though we'll only // install the ones that are named in this class
// nothing else to here - the module version will be // included in the class.
// elements and trailing nils
// build "else" if it exists
// POP
// Fix for JRUBY-1339 - search hierarchy for constant
// Skip all whitespace in pack format string
// false // zero
/* rb_str_cmp_m */
// switch //while
// TODO: Something about pipe buffer length here
// OUT = UNION(IN(succs))
// line 1442
// if element count is less than 6, use helper methods
/* SSS FIXME: Do we need to check if l is same as whatever popped? */
// Java / and % are not the same as ruby
/* compstmt position includes both parens around it*/
// keep this variant for kind_of? testing
"/*     * x = mantissa * 2 ** exponent     *     * Where mantissa is in the range of [.5, 1)     *     */"
// Stream-based
// Ruby's OMG capture all source in a Hash feature // Add each line to buffer when encountering newline or EOF for first time.
// ?<  | boolean | True if the modification time of file1 is prior to that of file2
// no number
// FIXME This whole thing could probably be implemented as a module and // mixed into appropriate classes, especially if it uses either // IOInput/OutputStream or is smart about the kind of IO-like object // it's being used against.
// line 830
// build first node only and return false
// invoke pre method stuff
// bench straight-up integer fib(30)
// if not overloaded, we add a method that guesses at which signature to use // TODO: just adding first one right now...add in signature-guessing logic
// we all all superclasses, but avoid adding superclass methods with same name+signature as subclass methods // see JRUBY-3130
// minus one more for IRubyObject[]
// grrr, arghh, want to subclass sun.misc.FloatingDecimal, but can't, // so we must do all this (the next 70 lines of code), which has already // been done by FloatingDecimal.
//System.err.println("byteListToInum(" + str + ")");
// ?X  | boolean | True if file1 exists and is executable by the real uid/gid
// string to eval
// confirm maximum not greater than optional
// line 354
// Our shell scripts pass in non-canonicalized paths, but even if we didn't // anyone who did would become unhappy because Ruby apps expect no relative // operators in the pathname (rubygems, for example).
// obtain a
// FIXME weakref.rb also does caller(2) here for the backtrace
// line 884
// This should never happen past parse, but just bulletproof this just in case
//                    actualPath = new File(RubyFile.expandUserPath(runtime.getCurrentContext(), reportedPath));
// Loads
// r/w buffer // are we reading or writing?
// EQ != 0 (i.e. true)
// line 1395
// DigestLibrary
// TODO: This is actually now returning the scope of whoever called Method#to_proc // which is obviously wrong; but there's no scope to provide for many methods. // It fixes JRUBY-2237, but needs a better solution.
// do a void return
// // Adding a post-invoke for the cb result serves to both keep it alive // until after the function returns, and allows us to clean up the native // trampoline early, instead of letting them accumulate until a GC run //
// load args[0] which will be the IRubyObject representing block args
// line 1029
// Helper function to give a good view of current dynamic scope with captured scopes
/* ---------- Protected / package fields, methods --------- */
// ignore; job was cancelled // FIXME: is this ok?
// mandatory constants we haven't implemented
// FIXME: I don't like the null checks here
"/** rb_mod_remove_cvar     *     * FIXME: any good reason to have two identical methods? (same as remove_class_variable)     */"
// reset buffer
// line 952
// wrap in try/catch for security exceptions in an applet
