//no big deal
// TODO : or should we return 'containsTableAlias'??
// note: interfaces is assumed to already contain HibernateProxy.class
// Write any appropriate versioning conditional parameters
// Make sure the root node for the region exists and  // has a DataVersion that never complains
// perhaps this should be an exception since it is only ever used // in the above method?
// inserts ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// metaType is assumed to be single-column type
//decide which ResultSet to get the property value from:
// a collection loaded in the current session // can not possibly be the collection belonging // to the entity passed to update()
//doable if needed
// areturn // return the value of the field
// session-start/post-flush persistent state
// properly handle property-ref-based associations
// Resolve to an identity column.
//TODO: always true for now, but not if we later decide to support elements() in the from clause
// we found a collection element in the result set
// Get all the select expressions (that we just generated) and render the select.
//TODO: add referencedClass to disambiguate to FKs on the same //      columns, pointing to different tables
// The basic implementation is to simply use the node's text
// Otherwise, we have a non-scalar select with defined collection fetch(es). // Make sure that there is only a single root entity in the return (no tuples)
// if there is no TM configured, we will not be able to access // the javax.transaction.Transaction object in order to // register a synch anyway.
//count++;
//do two passes, for collection property-ref!
// todo : remove this once ComponentMetamodel is complete and merged
// this one only really needed for badly-behaved applications! // (if the TransactionManager has a Sychronization registered, // its a noop) // (actually we do need it for downgrading locks)
"/**     * FIXME Per the RegionFactory class Javadoc, this constructor version     * should not be necessary.     *      * @param props The configuration properties     */"
// First, try to find a matching constructor accepting a ViolatedConstraintNameExtracter param...
//important!!
//Clobs are ignored by merge() operation
// Numeric Functions ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// contained elements:
// null or brand new collection // this will also (inefficiently) handle arrays, which have // no snapshot, so we can't do any better
//can't reuse in this case
//noop
"/**	 * Build a ResultSetMappingDefinition given a containing element for the ""return-XXX"" elements	 *	 * @param resultSetElem The element containing the return definitions.	 * @param path No clue...	 * @param mappings The current processing state.	 * @return The description of the mappings...	 */"
//fetch the generated id in a separate query
// Does the LIMIT clause take a "maximum" row number instead of a total number of returned rows?
// TODO : safe to interpret "map.remove(key) == null" as non-dirty?
//property-refs for associations defined on a //component are not supported, so no need to slice
// we need to utilize dynamic delete statements
// apend everything up until the next encountered open brace
//Cope with a subselect
// otherwise, the proxy was pruned during the serialization process
// grrr... for differentiation of mysql storage engines
// properties generated on update can never be updateable...
// TODO : why aren't these the same?
// If JBC is using INVALIDATION, we don't want to propagate changes. // We use the Timestamps cache to manage invalidation
//it was not embedded, so the argument is just an id
// Attach any mapping-defined "ORDER BY" fragments
// CHECK VIOLATION
//after reset!
// checkcast (case of reference type)
//NOTICE: no " or . since they are part of (compound) identifiers
// IdentifierGenerator implementation ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// Use the delegate, resolve identifiers as FROM element aliases.
// Resolve everything up to this dot, but don't resolve the placeholders yet.
//we *could* regerate this inside each called method!
// general purpose parameters ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
//orphan delete not supported for EntityMode.DOM4J
//only really need new array during semiresolve!
//before add :-)
// The default SQLExceptionConverter for all dialects is based on SQLState // since SQLErrorCode is extremely vendor-specific.  Specific Dialects // may override to return whatever is most appropriate for that vendor.
// null sql means that the only lazy properties // are shared PK one-to-one associations which are // handled differently in the Type#nullSafeGet code...
// Tell the dot node about the join type.
//reset the id
// if not "get", then try "is"
// todo : again, how *should* this work for non-pojo entities?
// iconst_i // continue to aastore // growing stack is 1
// discriminator column
// loop through all the associated entities and make sure they have been // processed before the latest // batch associated with this entity type.
//TODO: this bit actually has to be called after all cascades! //      but since identity insert is called *synchronously*, //      instead of asynchronously as other actions, it isn't
// Dialect function
// new methods in dialect3
// State ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
// Anyway, here we implement <set> semantics for a // <one-to-many> <bag>!
// it is a simple table alias {foo}
//return currentId;
// The name of the SQL function that transforms a string to lowercase
"//		scalarColumnAliases.add( typeReturn.getColumnAlias() ); //		scalarTypes.add( typeReturn.getType() );"
// continue...; we'll find out if it ends up not getting saved later
//abort the save (the object is already saved by a circular cascade)
// replace {....} with corresponding column aliases
// if its the root criteria, we are done
/* local variable | this | */
//or Types.LONGVARCHAR?
// Generate implicit joins, only if necessary.
// collections detect changes made via their public interface and mark // themselves as dirty as a performance optimization
// properties that we have tried to load, and not found in the database
// currently only the Hibernate-supplied DbTimestampType is supported here
// remove any snapshot, not really for memory management purposes, but // rather because it might now be stale, and there is no longer any  // EntityEntry to take precedence // This is now handled by removeEntity() //session.getPersistenceContext().removeDatabaseSnapshot(key);
//Open any extra brackets we might need.
// update removed rows fks to null
// ok in normal Hibernate usage to delete a detached entity; JPA however // forbids it, thus this is a hook for HEM to affect this behavior
//kinda ugly, but needed for collections with a "." node mapping
